paper,#Statements,#Resources,#DistResources,#Literals,#DistLiterals,#Predicates,#DistPredicates
R288808,65,91,27,39,39,65,58
R369142,73,102,30,44,44,73,64
R369238,80,112,33,48,48,80,67
R369339,81,116,35,46,46,81,57
R369483,73,103,30,43,43,73,57
R369602,49,69,21,29,29,49,41
R369685,72,103,32,41,41,72,58
R369715,46,64,19,28,28,46,37
R596003,72,102,31,42,42,72,64
R596015,61,90,30,32,32,61,41
R596028,70,98,29,42,42,70,60
R596037,47,67,21,27,27,47,40
R596045,64,90,27,38,38,64,57
R597081,65,91,27,39,39,65,57
R597102,46,66,21,26,26,46,37
R597176,63,88,26,38,38,63,57
R597183,47,67,21,27,27,47,37
R597186,48,69,22,27,27,48,41
R597383,49,71,23,27,27,49,37
R597386,48,69,22,27,27,48,41
R597394,42,60,19,24,24,42,36
R597400,57,83,27,31,31,57,42
R597409,68,96,29,40,40,68,58
R597880,47,68,22,26,26,47,40
R597889,48,69,22,27,27,48,41
R597910,66,95,30,37,37,66,57
R598064,51,72,22,30,30,51,37
R598067,67,94,28,40,40,67,57
R598083,42,60,19,24,24,42,36
R598217,44,63,20,25,25,44,37
R598220,45,63,19,27,27,45,36
R598223,50,72,23,28,28,50,41
R598230,70,99,28,41,41,70,56
R598244,44,63,20,25,25,44,37
R598249,44,63,20,25,25,44,37
R598274,62,87,26,37,37,62,57
R598281,43,61,19,25,25,43,36
R598284,72,102,31,42,42,72,64
R598496,67,96,30,38,38,67,57
R598506,50,73,24,27,27,50,41
R598583,43,62,20,24,24,43,37
R598586,66,94,29,38,38,66,57
R598595,45,63,19,27,27,45,36
R598598,63,88,26,38,38,63,57
R598606,62,87,26,37,37,62,56
R598614,66,92,27,40,40,66,58
R598631,64,89,26,39,39,64,56
R598694,67,96,30,38,38,67,57
R600479,67,95,29,39,39,67,57
R600488,44,62,19,26,26,44,36
R601221,66,94,29,38,38,66,57
R602865,48,69,22,27,27,48,40
R602883,62,86,25,38,38,62,56
R603577,49,70,22,28,28,49,41
R603583,44,63,20,25,25,44,37
R603586,47,67,21,27,27,47,37
R603589,67,95,29,39,39,67,57
R603600,73,104,31,42,42,73,56
R603616,42,60,19,24,24,42,36
R603619,45,63,19,27,27,45,36
R603622,45,64,20,26,26,45,37
R603625,44,63,20,25,25,44,37
R605077,48,68,21,28,28,48,41
R605419,69,98,30,40,40,69,58
R605866,73,103,31,43,43,73,58
R605881,70,98,28,42,42,70,57
R605922,44,63,20,25,25,44,38
R606056,46,65,20,27,27,46,38
R606061,53,77,23,29,29,53,41
R606148,66,91,26,41,41,66,57
R606247,64,89,26,39,39,64,57
R606260,86,119,30,53,53,86,57
R606293,50,70,21,30,30,50,41
R606302,47,67,21,27,27,47,41
R606309,50,70,21,30,30,50,41
R606569,64,88,25,40,40,64,57
R606576,68,95,28,41,41,68,57
R606839,64,89,26,39,39,64,57
R606846,45,63,19,27,27,45,37
R606860,64,89,26,39,39,64,57
R606868,71,99,29,43,43,71,59
R606919,67,94,28,40,40,67,57
R606928,64,89,26,39,39,64,57
R606978,72,103,32,41,41,72,57
R607051,66,92,27,40,40,66,57
R607060,68,93,26,43,43,68,57
R608032,43,61,19,25,25,43,37
R608041,44,62,19,26,26,44,37
R608147,46,64,19,28,28,46,37
R608150,50,73,24,27,27,50,38
R609340,48,68,21,28,28,48,41
R644458,51,72,22,30,30,51,42
R644464,45,64,20,26,26,45,38
R644601,48,68,21,28,28,48,41
R644689,49,70,21,28,28,49,38
R644694,53,77,25,29,29,53,42
R647097,67,96,30,38,38,67,60
R651407,45,63,19,27,27,45,37
R651411,45,64,20,26,26,45,38
R554452,68,95,28,41,41,68,57
R554460,50,70,21,30,30,50,42
R554468,68,93,26,43,43,68,58
R554861,48,68,21,28,28,48,41
R555217,68,93,26,43,43,68,58
R555710,64,88,25,40,40,64,58
R556041,44,62,19,26,26,44,37
R556363,64,90,27,38,38,64,57
R556637,63,87,25,39,39,63,57
R557163,82,114,29,50,50,82,57
R558201,78,109,31,47,47,78,64
R558790,65,90,26,40,40,65,57
R576739,74,102,29,46,46,74,65
